,27511,27513,27518,27529,27539,27601,27603,27604,27605,27606,27607,27608,27610
27511,11,6,11,4,7,3,12,6,8,11,4,5,12
27513,10,10,11,4,6,5,6,10,10,3,7,9,9
27518,10,5,4,8,5,12,13,12,10,6,7,3,5
27529,6,5,7,8,6,9,11,8,9,6,8,11,6
27539,9,7,4,8,9,10,9,5,10,6,8,5,10
27601,5,12,8,8,7,3,5,6,11,6,11,6,12
27603,8,10,3,5,8,7,15,7,3,5,14,5,10
27604,10,6,4,11,7,13,9,10,3,5,5,6,11
27605,5,11,10,6,8,8,4,9,10,4,9,7,9
27606,7,10,8,3,9,7,13,5,3,13,5,12,5
27607,4,7,3,8,5,10,6,13,8,12,10,4,10
27608,12,11,8,8,6,9,5,5,10,3,11,8,4
27610,8,6,6,3,15,7,6,15,10,4,11,5,4
